State,Gender,Had 2021,2021 category,Accomplished 2021,Have 2022,2022 category,Expecting to accomplish 2022,Expecting to fail 2022,Generation
TX,Male,Don't remember,,,Yes,Self improvement,4,No,Generation Z
NC,Female,No,,,No,,,,Millenials
CA,Male,Yes,School,4,No,,,,Generation Z
OR,Female,Yes,Health,4,Yes,Career,5,No,Generation Z
TX,Male,Yes,Family,5,Yes,Career,4,No,Generation X
MD,Male,Yes,Self improvement,4,Yes,Programming,3,No,Generation Z
AK,Female,Yes,Money,3,Yes,Self improvement,4,No,Millenials
WA,Female,No,,,No,,,,Millenials
WI,Male,No,,,Yes,Self improvement,2,Yes,Generation Z
CA,Male,Don't remember,,,Yes,Programming,1,Yes,Generation Z
TX,Male,No,,,Yes,Self improvement,4,No,Generation Z
NC,Male,No,,,No,,,,Generation Z
MA,Male,No,,,No,,,,Millenials
TX,Female,No,,,No,,,,Generation Z
TX,Male,No,,,Yes,Love,5,Yes,Generation Z
CT,Female,Don't remember,,,Yes,Self improvement,2,Yes,Generation Z
TX,Male,No,,,No,,,,Generation Z
CA,Female,No,,,No,,,,Millenials
CA,Female,No,,,No,,,,Millenials
CA,Male,No,,,No,,,,Millenials
MA,Male,Yes,Self improvement,4,Yes,Health,4,No,Generation Z
NY,Female,Don't remember,,,Yes,Health,3,Yes,Generation Z
HI,Male,Yes,Health,2,Yes,Health,4,No,Generation Z
ID,Female,No,,,Yes,Career,5,No,Generation Z
MA,Female,No,,,Yes,Self improvement,3,No,Generation Z
MA,Non-binary,No,,,Yes,Self improvement,4,No,Millenials
OK,Female,No,,,No,,,,Generation X
